Region,Cause,Sex,Rank,Number,Rate,Age_Adjusted_Rate
MID-CUMBERLAND,DISEASES OF HEART,Female,2.0,992.0,146.734057832744,136.649906824455
MID-CUMBERLAND,MALIGNANT NEOPLASMS,Total,2.0,2190.0,164.1847775971,157.952965180721
MID-CUMBERLAND,MALIGNANT NEOPLASMS,Male,2.0,1169.0,177.710889162524,191.00569331253
MID-CUMBERLAND,MALIGNANT NEOPLASMS,Female,1.0,1021.0,151.023662345999,133.536951874206
MID-CUMBERLAND,ACCIDENTS AND ADVERSE EFFECTS,Total,3.0,814.0,61.025757517826,62.5597136718255
MID-CUMBERLAND,ACCIDENTS AND ADVERSE EFFECTS,Male,3.0,532.0,80.8744166248613,85.4363050152317
MID-CUMBERLAND,ACCIDENTS AND ADVERSE EFFECTS,Female,6.0,282.0,41.7127059564857,41.5135417550387
MID-CUMBERLAND,CHRONIC LOWER RESPIRATORY DISEASES,Total,4.0,664.0,49.7802248056959,50.2365499900013
MID-CUMBERLAND,CHRONIC LOWER RESPIRATORY DISEASES,Male,4.0,326.0,49.5583831197458,55.3956385532544
MID-CUMBERLAND,CHRONIC LOWER RESPIRATORY DISEASES,Female,4.0,338.0,49.9960801889793,46.0824815808223
MID-CUMBERLAND,ALZHEIMER'S DISEASE,Total,5.0,566.0,42.4331434337709,49.1939636384351
MID-CUMBERLAND,ALZHEIMER'S DISEASE,Male,6.0,188.0,28.5796810629209,40.8807670527343
MID-CUMBERLAND,ALZHEIMER'S DISEASE,Female,3.0,378.0,55.9127760693318,54.3735896502468
MID-CUMBERLAND,CEREBROVASCULAR DISEASE,Total,6.0,548.0,41.0836795083153,43.9723289241666
MID-CUMBERLAND,CEREBROVASCULAR DISEASE,Male,5.0,231.0,35.1165230081635,42.2962957724716
MID-CUMBERLAND,CEREBROVASCULAR DISEASE,Female,5.0,317.0,46.8898148517942,44.4591753625528
MID-CUMBERLAND,DIABETES MELLITUS,Total,7.0,259.0,19.4172864829447,19.0683640006867
MID-CUMBERLAND,DIABETES MELLITUS,Male,8.0,146.0,22.1948586978003,23.9914290059649
MID-CUMBERLAND,DIABETES MELLITUS,Female,7.0,113.0,16.714665861996,15.2856891998279
MID-CUMBERLAND,SUICIDE,Total,8.0,221.0,16.5684181958717,16.5146689419673
MID-CUMBERLAND,SUICIDE,Male,7.0,171.0,25.9953482008483,26.0834522051275
MID-CUMBERLAND,SUICIDE,Female,14.0,50.0,7.39586985044072,7.56933290004211
MID-CUMBERLAND,CHRONIC LIVER DISEASE AND CIRRHOSIS,Total,9.0,171.0,12.8199072918283,11.6922466949134
MID-CUMBERLAND,CHRONIC LIVER DISEASE AND CIRRHOSIS,Male,9.0,105.0,15.9620559128016,14.8481606859307
MID-CUMBERLAND,CHRONIC LIVER DISEASE AND CIRRHOSIS,Female,10.0,66.0,9.76254820258175,8.80338878947891
MID-CUMBERLAND,PNEUMONIA AND INFLUENZA,Total,10.0,167.0,12.5200264195049,13.3326648442949
MID-CUMBERLAND,PNEUMONIA AND INFLUENZA,Male,11.0,86.0,13.0736838904851,16.0496879773223
MID-CUMBERLAND,PNEUMONIA AND INFLUENZA,Female,8.0,81.0,11.981309157714,11.3740025544035
MID-CUMBERLAND,PARKINSON'S DISEASE,Total,11.0,148.0,11.0955922759684,12.3635458844977
MID-CUMBERLAND,PARKINSON'S DISEASE,Male,10.0,94.0,14.2898405314605,19.2213531864398
MID-CUMBERLAND,PARKINSON'S DISEASE,Female,13.0,54.0,7.98753943847598,7.66248371739243
MID-CUMBERLAND,HYPERTENSION AND RENAL DISEASE,Total,13.0,117.0,8.77151551546148,9.15376343972784
MID-CUMBERLAND,HYPERTENSION AND RENAL DISEASE,Male,14.0,49.0,7.44895942597407,8.54315798254504
MID-CUMBERLAND,HYPERTENSION AND RENAL DISEASE,Female,9.0,68.0,10.0583829965994,9.46998393941758
MID-CUMBERLAND,SEPTICEMIA,Total,14.0,110.0,8.24672398889541,8.08013270496501
MID-CUMBERLAND,SEPTICEMIA,Male,15.0,44.0,6.68886152536447,7.18525120990824
MID-CUMBERLAND,SEPTICEMIA,Female,10.0,66.0,9.76254820258175,8.71119271222068
NORTHEAST,DISEASES OF HEART,Total,1.0,1151.0,325.272638382171,221.690237280838
NORTHEAST,DISEASES OF HEART,Male,1.0,654.0,374.952700920755,278.423380482574
NORTHEAST,DISEASES OF HEART,Female,1.0,497.0,276.980522194667,172.264279338666
NORTHEAST,MALIGNANT NEOPLASMS,Total,2.0,994.0,280.904433146723,184.195707355306
NORTHEAST,MALIGNANT NEOPLASMS,Male,2.0,545.0,312.460584100629,220.803454125783
NORTHEAST,MALIGNANT NEOPLASMS,Female,2.0,449.0,250.229888260373,153.619040428757
NORTHEAST,CHRONIC LOWER RESPIRATORY DISEASES,Total,3.0,363.0,102.58381210489,68.1094457698499
NORTHEAST,CHRONIC LOWER RESPIRATORY DISEASES,Male,4.0,169.0,96.8914471798282,68.2332026534011
NORTHEAST,CHRONIC LOWER RESPIRATORY DISEASES,Female,3.0,194.0,108.117145484437,68.3427103251529
NORTHEAST,ACCIDENTS AND ADVERSE EFFECTS,Total,4.0,284.0,80.2584094704923,70.7159929733421
NORTHEAST,ACCIDENTS AND ADVERSE EFFECTS,Male,3.0,171.0,98.0380915251516,88.396770838389
